input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
14.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,44.7,125.0,1184.56,94.78,39.11,4.92,5.22,6.74,20.15,0.6851,29.95,0.01,1.01008,1.33,7.78
16.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,50.8,152.0,1184.77,84.26,30.71,5.08,15.74,6.71,17.9,0.6086,30.12,0.01,2.90143,2.4,5.31
18.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,60.8,179.5,1184.85,95.78,39.06,4.89,4.02,6.72,17.9,0.6086,30.0,0.0,0.0,0.65,1.16
20.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,67.6,193.5,1185.56,93.61,40.43,5.04,6.39,6.72,17.9,0.6086,29.99,0.0,0.0,0.45,0.0
22.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,77.6,208.0,1185.27,91.34,40.94,5.21,8.66,6.7,17.9,0.6086,30.0,0.0,0.0,0.81,0.0
24.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,81.4,208.5,1185.13,92.62,39.54,5.3,7.38,6.76,17.9,0.6086,29.98,0.01,0.0,1.72,0.0
28.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,86.8,213.5,1185.07,89.96,40.31,5.0,10.04,6.7,17.9,0.6086,29.98,0.01,1.16514,3.22,0.0
32.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,98.4,214.5,1185.48,91.99,40.4,5.22,8.01,6.74,17.9,0.6086,29.98,0.0,5.11541,1.66,0.0
36.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,94.0,219.0,1184.78,95.45,40.26,5.0,4.55,6.7,12.5,0.425,30.01,0.01,1.96607,2.15,0.0
40.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,97.6,204.0,1184.98,97.35,39.78,5.0,2.63,6.73,12.5,0.425,29.93,0.01,0.0,1.38,0.0
44.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,99.6,202.0,1184.78,99.1,40.51,5.0,0.9,6.73,12.5,0.425,30.02,0.0,0.0,0.66,0.0
48.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,103.2,204.0,1185.3,99.35,40.25,5.0,0.65,6.74,12.5,0.425,29.97,0.02,0.0,0.67,0.0
